"cbsa"	"md"	"csa"	"cbsa_name"	"md_name"	"csa_name"	"is_metro"	"fips"	"component_name"	"is_central"
"1"	10020	NA	318	"Abbeville, LA"	NA	"Lafayette-Acadiana, LA"	FALSE	22113	"Vermilion Parish"	TRUE
"2"	10100	NA	NA	"Aberdeen, SD"	NA	NA	FALSE	46013	"Brown County"	TRUE
"3"	10100	NA	NA	"Aberdeen, SD"	NA	NA	FALSE	46045	"Edmunds County"	FALSE
"4"	10140	NA	NA	"Aberdeen, WA"	NA	NA	FALSE	53027	"Grays Harbor County"	TRUE
"5"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48059	"Callahan County"	FALSE
"6"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48253	"Jones County"	FALSE
"7"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48441	"Taylor County"	TRUE
"8"	10220	NA	NA	"Ada, OK"	NA	NA	FALSE	40123	"Pontotoc County"	TRUE
"9"	10260	NA	NA	"Adjuntas, PR"	NA	NA	FALSE	72001	"Adjuntas Municipio"	TRUE
"10"	10300	NA	NA	"Adrian, MI"	NA	NA	FALSE	26091	"Lenawee County"	TRUE
"11"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72003	"Aguada Municipio"	TRUE
"12"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72005	"Aguadilla Municipio"	TRUE
"13"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72011	"Añasco Municipio"	TRUE
"14"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72071	"Isabela Municipio"	TRUE
"15"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72081	"Lares Municipio"	TRUE
"16"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72099	"Moca Municipio"	TRUE
"17"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72117	"Rincón Municipio"	TRUE
"18"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72131	"San Sebastián Municipio"	TRUE
"19"	10420	NA	184	"Akron, OH"	NA	"Cleveland-Akron-Elyria, OH"	TRUE	39133	"Portage County"	TRUE
"20"	10420	NA	184	"Akron, OH"	NA	"Cleveland-Akron-Elyria, OH"	TRUE	39153	"Summit County"	TRUE
"21"	10460	NA	NA	"Alamogordo, NM"	NA	NA	FALSE	35035	"Otero County"	TRUE
"22"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13007	"Baker County"	FALSE
"23"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13095	"Dougherty County"	TRUE
"24"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13177	"Lee County"	TRUE
"25"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13273	"Terrell County"	FALSE
"26"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13321	"Worth County"	FALSE
"27"	10540	NA	102	"Albany-Lebanon, OR"	NA	"Albany-Corvallis-Lebanon, OR"	FALSE	41043	"Linn County"	TRUE
"28"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady-Amsterdam, NY"	TRUE	36001	"Albany County"	TRUE
"29"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady-Amsterdam, NY"	TRUE	36083	"Rensselaer County"	TRUE
"30"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady-Amsterdam, NY"	TRUE	36091	"Saratoga County"	TRUE
"31"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady-Amsterdam, NY"	TRUE	36093	"Schenectady County"	TRUE
"32"	10580	NA	104	"Albany-Schenectady-Troy, NY"	NA	"Albany-Schenectady-Amsterdam, NY"	TRUE	36095	"Schoharie County"	FALSE
"33"	10620	NA	172	"Albemarle, NC"	NA	"Charlotte-Gastonia-Salisbury, NC-SC"	FALSE	37167	"Stanly County"	TRUE
"34"	10660	NA	NA	"Albert Lea, MN"	NA	NA	FALSE	27047	"Freeborn County"	TRUE
"35"	10700	NA	NA	"Albertville, AL"	NA	NA	FALSE	1095	"Marshall County"	TRUE
"36"	10740	NA	NA	"Albuquerque, NM"	NA	NA	TRUE	35001	"Bernalillo County"	TRUE
"37"	10740	NA	NA	"Albuquerque, NM"	NA	NA	TRUE	35043	"Sandoval County"	TRUE
"38"	10740	NA	NA	"Albuquerque, NM"	NA	NA	TRUE	35057	"Torrance County"	FALSE
"39"	10740	NA	NA	"Albuquerque, NM"	NA	NA	TRUE	35061	"Valencia County"	FALSE
"40"	10760	NA	388	"Alexander City, AL"	NA	"Montgomery-Alexander City, AL"	FALSE	1037	"Coosa County"	FALSE
"41"	10760	NA	388	"Alexander City, AL"	NA	"Montgomery-Alexander City, AL"	FALSE	1123	"Tallapoosa County"	TRUE
"42"	10780	NA	NA	"Alexandria, LA"	NA	NA	TRUE	22043	"Grant Parish"	FALSE
"43"	10780	NA	NA	"Alexandria, LA"	NA	NA	TRUE	22079	"Rapides Parish"	TRUE
"44"	10820	NA	NA	"Alexandria, MN"	NA	NA	FALSE	27041	"Douglas County"	TRUE
"45"	10860	NA	NA	"Alice, TX"	NA	NA	FALSE	48249	"Jim Wells County"	TRUE
"46"	10880	NA	266	"Allegan, MI"	NA	"Grand Rapids-Muskegon-Holland, MI"	FALSE	26005	"Allegan County"	TRUE
"47"	10900	NA	NA	"Allentown-Bethlehem-Easton, PA-NJ"	NA	NA	TRUE	34041	"Warren County"	TRUE
"48"	10900	NA	NA	"Allentown-Bethlehem-Easton, PA-NJ"	NA	NA	TRUE	42025	"Carbon County"	TRUE
"49"	10900	NA	NA	"Allentown-Bethlehem-Easton, PA-NJ"	NA	NA	TRUE	42077	"Lehigh County"	TRUE
"50"	10900	NA	NA	"Allentown-Bethlehem-Easton, PA-NJ"	NA	NA	TRUE	42095	"Northampton County"	TRUE
"51"	10940	NA	NA	"Alma, MI"	NA	NA	FALSE	26057	"Gratiot County"	TRUE
"52"	10980	NA	NA	"Alpena, MI"	NA	NA	FALSE	26007	"Alpena County"	TRUE
"53"	11020	NA	NA	"Altoona, PA"	NA	NA	TRUE	42013	"Blair County"	TRUE
"54"	11060	NA	NA	"Altus, OK"	NA	NA	FALSE	40065	"Jackson County"	TRUE
"55"	11100	NA	NA	"Amarillo, TX"	NA	NA	TRUE	48011	"Armstrong County"	FALSE
"56"	11100	NA	NA	"Amarillo, TX"	NA	NA	TRUE	48065	"Carson County"	FALSE
"57"	11100	NA	NA	"Amarillo, TX"	NA	NA	TRUE	48375	"Potter County"	TRUE
"58"	11100	NA	NA	"Amarillo, TX"	NA	NA	TRUE	48381	"Randall County"	TRUE
"59"	11140	NA	NA	"Americus, GA"	NA	NA	FALSE	13249	"Schley County"	FALSE
"60"	11140	NA	NA	"Americus, GA"	NA	NA	FALSE	13261	"Sumter County"	TRUE
"61"	11180	NA	112	"Ames, IA"	NA	"Ames-Boone, IA"	TRUE	19169	"Story County"	TRUE
"62"	11220	NA	104	"Amsterdam, NY"	NA	"Albany-Schenectady-Amsterdam, NY"	FALSE	36057	"Montgomery County"	TRUE
"63"	11260	NA	NA	"Anchorage, AK"	NA	NA	TRUE	2020	"Anchorage Municipality"	TRUE
"64"	11260	NA	NA	"Anchorage, AK"	NA	NA	TRUE	2170	"Matanuska-Susitna Borough"	FALSE
"65"	11300	NA	294	"Anderson, IN"	NA	"Indianapolis-Anderson-Columbus, IN"	TRUE	18095	"Madison County"	TRUE
"66"	11340	NA	273	"Anderson, SC"	NA	"Greenville-Spartanburg-Anderson, SC"	TRUE	45007	"Anderson County"	TRUE
"67"	11380	NA	NA	"Andrews, TX"	NA	NA	FALSE	48003	"Andrews County"	TRUE
