"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	56448	56100
"2"	10380	"AGUADILLA-ISABELA, PR"	18267	18700
"3"	10420	"AKRON, OH"	65716	65700
"4"	10500	"ALBANY, GA"	44715	47300
"5"	10540	"ALBANY, OR"	54713	55100
"6"	10580	"ALBANY-SCHENECTADY-TROY, NY"	81103	83100
"7"	10740	"ALBUQUERQUE, NM"	60032	61900
"8"	10780	"ALEXANDRIA, LA"	50720	54300
"9"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	71539	73400
"10"	11020	"ALTOONA, PA"	57819	62700
"11"	11100	"AMARILLO, TX"	61673	65300
"12"	11180	"AMES, IA"	77539	80000
"13"	11244	"ANAHEIM-SANTA ANA-IRVINE, CA"	86003	88000
"14"	11260	"ANCHORAGE, AK"	89267	89000
"15"	11460	"ANN ARBOR, MI"	87331	88300
"16"	11500	"ANNISTON-OXFORD-JACKSONVILLE, AL"	52300	53000
"17"	11540	"APPLETON, WI"	73709	74700
"18"	11640	"ARECIBO, PR"	20181	21400
"19"	11700	"ASHEVILLE, NC"	57243	61300
"20"	12020	"ATHENS-CLARKE COUNTY, GA"	57116	61500
"21"	12060	"ATLANTA-SANDY SPRINGS-ROSWELL, GA"	67322	69700
"22"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66523	67200
"23"	12220	"AUBURN-OPELIKA, AL"	61141	59200
"24"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	58059	62000
"25"	12420	"AUSTIN-ROUND ROCK, TX"	78997	81400
"26"	12540	"BAKERSFIELD, CA"	52649	53000
"27"	12580	"BALTIMORE-COLUMBIA-TOWSON, MD"	87788	91100
"28"	12620	"BANGOR, ME"	56891	63000
"29"	12700	"BARNSTABLE TOWN, MA"	80751	90200
"30"	12940	"BATON ROUGE, LA"	66344	67900
"31"	12980	"BATTLE CREEK, MI"	53315	55700
"32"	13020	"BAY CITY, MI"	57819	65900
"33"	13140	"BEAUMONT-PORT ARTHUR, TX"	56953	55400
"34"	13220	"BECKLEY, WV"	47856	44100
"35"	13380	"BELLINGHAM, WA"	68376	68300
"36"	13460	"BEND-REDMOND, OR"	62013	64000
"37"	13740	"BILLINGS, MT"	66980	67700
"38"	13780	"BINGHAMTON, NY"	63860	65700
"39"	13820	"BIRMINGHAM-HOOVER, AL"	62204	63100
"40"	13900	"BISMARCK, ND"	82181	82600
"41"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	60503	71900
"42"	14010	"BLOOMINGTON, IL"	81357	79600
"43"	14020	"BLOOMINGTON, IN"	61426	62300
"44"	14100	"BLOOMSBURG-BERWICK, PA"	59531	61100
"45"	14260	"BOISE CITY, ID"	61722	64300
"46"	14454	"BOSTON, MA"	90699	94300
"47"	14500	"BOULDER, CO"	96926	98200
"48"	14540	"BOWLING GREEN, KY"	55109	62000
"49"	14740	"BREMERTON-SILVERDALE, WA"	75652	77100
"50"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	105628	86300
