"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	52886	54900
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIAN, PR"	16128	18200
"3"	10420	"AKRON, OH"	62882	64400
"4"	10500	"ALBANY, GA"	46021	49100
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	74739	77700
"6"	10740	"ALBUQUERQUE, NM"	59381	62900
"7"	10780	"ALEXANDRIA, LA"	50565	52500
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	68935	71400
"9"	11020	"ALTOONA, PA"	53166	56800
"10"	11100	"AMARILLO, TX"	57317	62700
"11"	11180	"AMES, IA"	74278	74900
"12"	11260	"ANCHORAGE, AK"	82861	87800
"13"	11300	"ANDERSON, IN"	53906	55600
"14"	11340	"ANDERSON, SC"	53229	55200
"15"	11460	"ANN ARBOR, MI"	82184	84200
"16"	11500	"ANNISTON-OXFORD, AL"	49532	53100
"17"	11540	"APPLETON, WI"	69972	72200
"18"	11700	"ASHEVILLE, NC"	55018	53900
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	57573	58400
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	67829	66300
"21"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66920	65400
"22"	12220	"AUBURN-OPELIKA, AL"	59112	63000
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	54953	56800
"24"	12420	"AUSTIN-ROUND ROCK-SAN MARCOS, TX"	71602	73200
"25"	12540	"BAKERSFIELD-DELANO, CA"	51311	52500
"26"	12580	"BALTIMORE-TOWSON, MD"	81788	85600
"27"	12620	"BANGOR, ME"	54271	61800
"28"	12700	"BARNSTABLE TOWN, MA"	75056	74900
"29"	12940	"BATON ROUGE, LA"	60727	64600
"30"	12980	"BATTLE CREEK, MI"	52533	53100
"31"	13020	"BAY CITY, MI"	53824	56100
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	55189	53100
"33"	13380	"BELLINGHAM, WA"	64586	69800
"34"	13460	"BEND, OR"	61605	59700
"35"	13644	"BETHESDA-ROCKVILLE-FREDERICK, MD"	107887	112200
"36"	13740	"BILLINGS, MT"	61996	63700
"37"	13780	"BINGHAMTON, NY"	58258	58600
"38"	13820	"BIRMINGHAM-HOOVER, AL"	59532	57100
"39"	13900	"BISMARCK, ND"	68621	75300
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	57442	60100
"41"	14020	"BLOOMINGTON, IN"	57123	56100
"42"	14060	"BLOOMINGTON-NORMAL, IL"	77093	86800
"43"	14260	"BOISE CITY-NAMPA, ID"	59649	60000
"44"	14484	"BOSTON-QUINCY, MA"	83664	88000
"45"	14500	"BOULDER, CO"	87860	91600
"46"	14540	"BOWLING GREEN, KY"	54856	58300
"47"	14740	"BREMERTON-SILVERDALE, WA"	71065	73100
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	100593	101300
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	33770	37300
"50"	15260	"BRUNSWICK, GA"	57734	51900
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	62530	63500
"52"	15500	"BURLINGTON, NC"	52806	51700
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	72928	77500
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	97382	101000
"55"	15804	"CAMDEN, NJ"	83092	86200
"56"	15940	"CANTON-MASSILLON, OH"	55645	54100
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	58950	56300
"58"	16020	"CAPE GIRARDEAU-JACKSON, MO-IL"	51873	55000
"59"	16180	"CARSON CITY, NV"	65389	69500
"60"	16220	"CASPER, WY"	62859	60900
"61"	16300	"CEDAR RAPIDS, IA"	67971	71700
"62"	16580	"CHAMPAIGN-URBANA, IL"	65521	72000
"63"	16620	"CHARLESTON, WV"	53382	57900
"64"	16700	"CHARLESTON-NORTH CHARLESTON-SUMMERVILLE, SC"	60579	61300
"65"	16740	"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC"	64787	64100
"66"	16820	"CHARLOTTESVILLE, VA"	74256	77500
"67"	16860	"CHATTANOOGA, TN-GA"	54527	58000
"68"	16940	"CHEYENNE, WY"	64589	66300
"69"	16974	"CHICAGO-JOLIET-NAPERVILLE, IL"	72747	73400
"70"	17020	"CHICO, CA"	54924	55700
"71"	17140	"CINCINNATI-MIDDLETOWN, OH-KY-IN"	67515	68700
"72"	17300	"CLARKSVILLE, TN-KY"	51268	52700
"73"	17420	"CLEVELAND, TN"	48121	47600
"74"	17460	"CLEVELAND-ELYRIA-MENTOR, OH"	62627	63400
"75"	17660	"COEUR D'ALENE, ID"	55840	52900
"76"	17780	"COLLEGE STATION-BRYAN, TX"	56053	54900
"77"	17820	"COLORADO SPRINGS, CO"	68800	69100
"78"	17860	"COLUMBIA, MO"	63489	65300
"79"	17900	"COLUMBIA, SC"	60605	60400
"80"	17980	"COLUMBUS, GA-AL"	51200	48200
"81"	18020	"COLUMBUS, IN"	64024	62500
"82"	18140	"COLUMBUS, OH"	66337	67900
"83"	18580	"CORPUS CHRISTI, TX"	52664	52700
"84"	18700	"CORVALLIS, OR"	71763	80800
"85"	18880	"CRESTVIEW-FORT WALTON BEACH-DESTIN, FL"	64224	64000
"86"	19060	"CUMBERLAND, MD-WV"	51522	53300
"87"	19124	"DALLAS-PLANO-IRVING, TX"	67501	69000
"88"	19140	"DALTON, GA"	47949	50600
"89"	19180	"DANVILLE, IL"	49429	48200
"90"	19260	"DANVILLE, VA"	44782	45300
"91"	19340	"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL"	61723	63100
"92"	19380	"DAYTON, OH"	59770	57800
"93"	19460	"DECATUR, AL"	52988	55200
"94"	19500	"DECATUR, IL"	57570	55900
"95"	19660	"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL"	55569	56500
"96"	19740	"DENVER-AURORA-BROOMFIELD, CO"	75101	77800
"97"	19780	"DES MOINES-WEST DES MOINES, IA"	71705	72900
"98"	19804	"DETROIT-LIVONIA-DEARBORN, MI"	52946	52300
"99"	20020	"DOTHAN, AL"	48288	50000
"100"	20100	"DOVER, DE"	60949	68000
"101"	20220	"DUBUQUE, IA"	61138	66100
"102"	20260	"DULUTH, MN-WI"	59812	60900
"103"	20500	"DURHAM-CHAPEL HILL, NC"	65660	67700
"104"	20740	"EAU CLAIRE, WI"	62064	65300
"105"	20764	"EDISON-NEW BRUNSWICK, NJ"	91959	96600
"106"	20940	"EL CENTRO, CA"	43490	48000
"107"	21060	"ELIZABETHTOWN, KY"	55079	55500
"108"	21140	"ELKHART-GOSHEN, IN"	53742	51900
"109"	21300	"ELMIRA, NY"	55246	58600
"110"	21340	"EL PASO, TX"	40329	42000
"111"	21500	"ERIE, PA"	56144	60200
"112"	21660	"EUGENE-SPRINGFIELD, OR"	55817	55800
"113"	21780	"EVANSVILLE, IN-KY"	60518	60100
"114"	21820	"FAIRBANKS, AK"	79913	78400
"115"	21940	"FAJARDO, PR"	22407	23500
